Gemnr,Gemeente,Bev_2020,van_datum,tot_datum,Totaal_Absoluut,Totaal_inc100000,Zkh_Absoluut,Zkh_inc100000,Overleden_Absoluut,Overleden_inc100000
518,'s-Gravenhage (gemeente),545838,04-11-2020,17-11-2020,2102,385.1,44,8.1,13,2.4
796,'s-Hertogenbosch,155111,04-11-2020,17-11-2020,803,517.7,2,1.3,7,4.5
1680,Aa en Hunze,25445,04-11-2020,17-11-2020,30,117.9,0,0.0,0,0.0
358,Aalsmeer,31859,04-11-2020,17-11-2020,164,514.8,3,9.4,7,22.0
197,Aalten,27121,04-11-2020,17-11-2020,113,416.7,0,0.0,1,3.7
59,Achtkarspelen,27843,04-11-2020,17-11-2020,36,129.3,0,0.0,0,0.0
482,Alblasserdam,20165,04-11-2020,17-11-2020,150,743.9,0,0.0,1,5.0
613,Albrandswaard,25590,04-11-2020,17-11-2020,130,508.0,2,7.8,0,0.0
361,Alkmaar,109436,04-11-2020,17-11-2020,451,412.1,4,3.7,5,4.6
141,Almelo,73107,04-11-2020,17-11-2020,559,764.6,1,1.4,4,5.5
34,Almere,211893,04-11-2020,17-11-2020,883,416.7,3,1.4,4,1.9
484,Alphen aan den Rijn,111897,04-11-2020,17-11-2020,635,567.5,5,4.5,7,6.3
1723,Alphen-Chaam,10203,04-11-2020,17-11-2020,72,705.7,0,0.0,0,0.0
1959,Altena,55967,04-11-2020,17-11-2020,329,587.8,2,3.6,9,16.1
60,Ameland,3716,04-11-2020,17-11-2020,0,0.0,0,0.0,0,0.0
307,Amersfoort,157276,04-11-2020,17-11-2020,643,408.8,5,3.2,10,6.4
362,Amstelveen,91675,04-11-2020,17-11-2020,327,356.7,3,3.3,1,1.1
363,Amsterdam,872757,04-11-2020,17-11-2020,4194,480.5,50,5.7,33,3.8
200,Apeldoorn,163818,04-11-2020,17-11-2020,477,291.2,1,0.6,2,1.2
3,Appingedam,11642,04-11-2020,17-11-2020,10,85.9,0,0.0,0,0.0
202,Arnhem,161348,04-11-2020,17-11-2020,650,402.9,6,3.7,12,7.4
106,Assen,68599,04-11-2020,17-11-2020,102,148.7,2,2.9,1,1.5
743,Asten,16721,04-11-2020,17-11-2020,60,358.8,0,0.0,2,12.0
744,Baarle-Nassau,6859,04-11-2020,17-11-2020,29,422.8,1,14.6,0,0.0
308,Baarn,24868,04-11-2020,17-11-2020,80,321.7,2,8.0,1,4.0
489,Barendrecht,48714,04-11-2020,17-11-2020,176,361.3,3,6.2,3,6.2
203,Barneveld,59082,04-11-2020,17-11-2020,347,587.3,4,6.8,4,6.8
888,Beek (L.),15865,04-11-2020,17-11-2020,55,346.7,0,0.0,0,0.0
1954,Beekdaelen,35938,04-11-2020,17-11-2020,93,258.8,1,2.8,0,0.0
370,Beemster,10022,04-11-2020,17-11-2020,49,488.9,0,0.0,0,0.0
889,Beesel,13482,04-11-2020,17-11-2020,35,259.6,2,14.8,0,0.0
1945,Berg en Dal,34992,04-11-2020,17-11-2020,179,511.5,0,0.0,3,8.6
1724,Bergeijk,18635,04-11-2020,17-11-2020,67,359.5,0,0.0,1,5.4
893,Bergen (L.),13085,04-11-2020,17-11-2020,41,313.3,1,7.6,0,0.0
