Gemnr,Gemeente,Bev_2020,van_datum,tot_datum,Totaal_Absoluut,Totaal_inc100000,Zkh_Absoluut,Zkh_inc100000,Overleden_Absoluut,Overleden_inc100000
518,'s-Gravenhage (gemeente),545838,21-10-2020,03-11-2020,4492,823.0,73,13.4,18,3.3
796,'s-Hertogenbosch,155111,21-10-2020,03-11-2020,1022,658.9,5,3.2,3,1.9
1680,Aa en Hunze,25445,21-10-2020,03-11-2020,42,165.1,0,0.0,0,0.0
358,Aalsmeer,31859,21-10-2020,03-11-2020,285,894.6,2,6.3,3,9.4
197,Aalten,27121,21-10-2020,03-11-2020,111,409.3,0,0.0,1,3.7
59,Achtkarspelen,27843,21-10-2020,03-11-2020,53,190.4,0,0.0,0,0.0
482,Alblasserdam,20165,21-10-2020,03-11-2020,259,1284.4,0,0.0,3,14.9
613,Albrandswaard,25590,21-10-2020,03-11-2020,323,1262.2,2,7.8,1,3.9
361,Alkmaar,109436,21-10-2020,03-11-2020,618,564.7,5,4.6,0,0.0
141,Almelo,73107,21-10-2020,03-11-2020,682,932.9,0,0.0,2,2.7
34,Almere,211893,21-10-2020,03-11-2020,1343,633.8,6,2.8,2,0.9
484,Alphen aan den Rijn,111897,21-10-2020,03-11-2020,985,880.3,10,8.9,4,3.6
1723,Alphen-Chaam,10203,21-10-2020,03-11-2020,57,558.7,0,0.0,0,0.0
1959,Altena,55967,21-10-2020,03-11-2020,442,789.8,2,3.6,1,1.8
60,Ameland,3716,21-10-2020,03-11-2020,15,403.7,0,0.0,0,0.0
307,Amersfoort,157276,21-10-2020,03-11-2020,1239,787.8,9,5.7,4,2.5
362,Amstelveen,91675,21-10-2020,03-11-2020,605,659.9,2,2.2,3,3.3
363,Amsterdam,872757,21-10-2020,03-11-2020,7515,861.1,99,11.3,29,3.3
200,Apeldoorn,163818,21-10-2020,03-11-2020,763,465.8,7,4.3,3,1.8
3,Appingedam,11642,21-10-2020,03-11-2020,18,154.6,1,8.6,1,8.6
202,Arnhem,161348,21-10-2020,03-11-2020,977,605.5,12,7.4,7,4.3
106,Assen,68599,21-10-2020,03-11-2020,253,368.8,0,0.0,0,0.0
743,Asten,16721,21-10-2020,03-11-2020,133,795.4,0,0.0,0,0.0
744,Baarle-Nassau,6859,21-10-2020,03-11-2020,59,860.2,0,0.0,0,0.0
308,Baarn,24868,21-10-2020,03-11-2020,174,699.7,4,16.1,1,4.0
489,Barendrecht,48714,21-10-2020,03-11-2020,478,981.2,4,8.2,1,2.1
203,Barneveld,59082,21-10-2020,03-11-2020,439,743.0,0,0.0,0,0.0
888,Beek (L.),15865,21-10-2020,03-11-2020,58,365.6,1,6.3,2,12.6
1954,Beekdaelen,35938,21-10-2020,03-11-2020,130,361.7,0,0.0,1,2.8
370,Beemster,10022,21-10-2020,03-11-2020,46,459.0,0,0.0,0,0.0
889,Beesel,13482,21-10-2020,03-11-2020,45,333.8,0,0.0,0,0.0
1945,Berg en Dal,34992,21-10-2020,03-11-2020,293,837.3,6,17.1,4,11.4
1724,Bergeijk,18635,21-10-2020,03-11-2020,170,912.3,1,5.4,0,0.0
893,Bergen (L.),13085,21-10-2020,03-11-2020,69,527.3,1,7.6,1,7.6
373,Bergen (NH.),29839,21-10-2020,03-11-2020,154,516.1,0,0.0,5,16.8
748,Bergen op Zoom,67496,21-10-2020,03-11-2020,671,994.1,5,7.4,4,5.9
1859,Berkelland,43747,21-10-2020,03-11-2020,357,816.1,2,4.6,5,11.4
1721,Bernheze,31240,21-10-2020,03-11-2020,277,886.7,0,0.0,1,3.2
753,Best,29988,21-10-2020,03-11-2020,196,653.6,1,3.3,1,3.3
209,Beuningen,25890,21-10-2020,03-11-2020,144,556.2,0,0.0,0,0.0
