Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
518,2102,'s-Gravenhage,28,Zuid-Holland,2020-11-24
796,803,'s-Hertogenbosch,30,Noord-Brabant,2020-11-24
1680,30,Aa en Hunze,22,Drenthe,2020-11-24
358,164,Aalsmeer,27,Noord-Holland,2020-11-24
197,113,Aalten,25,Gelderland,2020-11-24
59,36,Achtkarspelen,21,Friesland,2020-11-24
482,150,Alblasserdam,28,Zuid-Holland,2020-11-24
613,130,Albrandswaard,28,Zuid-Holland,2020-11-24
361,451,Alkmaar,27,Noord-Holland,2020-11-24
141,559,Almelo,23,Overijssel,2020-11-24
34,883,Almere,24,Flevoland,2020-11-24
484,635,Alphen aan den Rijn,28,Zuid-Holland,2020-11-24
1723,72,Alphen-Chaam,30,Noord-Brabant,2020-11-24
1959,329,Altena,30,Noord-Brabant,2020-11-24
60,0,Ameland,21,Friesland,2020-11-24
307,643,Amersfoort,26,Utrecht,2020-11-24
362,327,Amstelveen,27,Noord-Holland,2020-11-24
363,4194,Amsterdam,27,Noord-Holland,2020-11-24
200,477,Apeldoorn,25,Gelderland,2020-11-24
3,10,Appingedam,20,Groningen,2020-11-24
202,650,Arnhem,25,Gelderland,2020-11-24
106,102,Assen,22,Drenthe,2020-11-24
743,60,Asten,30,Noord-Brabant,2020-11-24
744,29,Baarle-Nassau,30,Noord-Brabant,2020-11-24
308,80,Baarn,26,Utrecht,2020-11-24
489,176,Barendrecht,28,Zuid-Holland,2020-11-24
203,347,Barneveld,25,Gelderland,2020-11-24
888,55,Beek,31,Limburg,2020-11-24
1954,93,Beekdaelen,31,Limburg,2020-11-24
370,49,Beemster,27,Noord-Holland,2020-11-24
889,35,Beesel,31,Limburg,2020-11-24
1945,179,Berg en Dal,25,Gelderland,2020-11-24
1724,67,Bergeijk,30,Noord-Brabant,2020-11-24
893,41,Bergen (L.),31,Limburg,2020-11-24
373,57,Bergen (NH.),27,Noord-Holland,2020-11-24
748,465,Bergen op Zoom,30,Noord-Brabant,2020-11-24
1859,211,Berkelland,25,Gelderland,2020-11-24
1721,149,Bernheze,30,Noord-Brabant,2020-11-24
753,121,Best,30,Noord-Brabant,2020-11-24
209,109,Beuningen,25,Gelderland,2020-11-24
375,199,Beverwijk,27,Noord-Holland,2020-11-24
1728,137,Bladel,30,Noord-Brabant,2020-11-24
376,55,Blaricum,27,Noord-Holland,2020-11-24
377,65,Bloemendaal,27,Noord-Holland,2020-11-24
1901,171,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-11-24
755,23,Boekel,30,Noord-Brabant,2020-11-24
1681,48,Borger-Odoorn,22,Drenthe,2020-11-24
147,88,Borne,23,Overijssel,2020-11-24
654,44,Borsele,29,Zeeland,2020-11-24
756,110,Boxmeer,30,Noord-Brabant,2020-11-24
757,117,Boxtel,30,Noord-Brabant,2020-11-24
758,713,Breda,30,Noord-Brabant,2020-11-24
501,68,Brielle,28,Zuid-Holland,2020-11-24
1876,123,Bronckhorst,25,Gelderland,2020-11-24
213,76,Brummen,25,Gelderland,2020-11-24
899,74,Brunssum,31,Limburg,2020-11-24
312,55,Bunnik,26,Utrecht,2020-11-24
313,186,Bunschoten,26,Utrecht,2020-11-24
214,99,Buren,25,Gelderland,2020-11-24
502,320,Capelle aan den IJssel,28,Zuid-Holland,2020-11-24
383,111,Castricum,27,Noord-Holland,2020-11-24
109,96,Coevorden,22,Drenthe,2020-11-24
1706,111,Cranendonck,30,Noord-Brabant,2020-11-24
1684,102,Cuijk,30,Noord-Brabant,2020-11-24
216,103,Culemborg,25,Gelderland,2020-11-24
148,103,Dalfsen,23,Overijssel,2020-11-24
1891,35,Dantumadiel,21,Friesland,2020-11-24
310,198,De Bilt,26,Utrecht,2020-11-24
1940,61,De Fryske Marren,21,Friesland,2020-11-24
736,190,De Ronde Venen,26,Utrecht,2020-11-24
1690,58,De Wolden,22,Drenthe,2020-11-24
503,497,Delft,28,Zuid-Holland,2020-11-24
10,17,Delfzijl,20,Groningen,2020-11-24
400,124,Den Helder,27,Noord-Holland,2020-11-24
762,141,Deurne,30,Noord-Brabant,2020-11-24
150,277,Deventer,23,Overijssel,2020-11-24
384,147,Diemen,27,Noord-Holland,2020-11-24
1774,143,Dinkelland,23,Overijssel,2020-11-24
221,27,Doesburg,25,Gelderland,2020-11-24
222,187,Doetinchem,25,Gelderland,2020-11-24
766,172,Dongen,30,Noord-Brabant,2020-11-24
505,744,Dordrecht,28,Zuid-Holland,2020-11-24
498,71,Drechterland,27,Noord-Holland,2020-11-24
1719,125,Drimmelen,30,Noord-Brabant,2020-11-24
303,80,Dronten,24,Flevoland,2020-11-24
225,69,Druten,25,Gelderland,2020-11-24
226,103,Duiven,25,Gelderland,2020-11-24
1711,69,Echt-Susteren,31,Limburg,2020-11-24
385,202,Edam-Volendam,27,Noord-Holland,2020-11-24
228,479,Ede,25,Gelderland,2020-11-24
317,67,Eemnes,26,Utrecht,2020-11-24
770,115,Eersel,30,Noord-Brabant,2020-11-24
1903,63,Eijsden-Margraten,31,Limburg,2020-11-24
